trial,regime,job_id,urgency,budget,cpu_iterations,mem_mb,wait_time,wall_seconds,cpu_seconds,completion_time,peak_mem_kb,pid
0,FIFO,mem_heavy_0,0.7,7.4,393731,128,0.0090,0.3674,0.3672,0.3763,147620,3258
0,FIFO,medium_mixed_1,0.69,7.8,656219,32,0.0090,0.3160,0.3150,0.3251,49320,3259
0,FIFO,medium_mixed_2,0.69,6.8,656219,32,0.0101,0.3212,0.3211,0.3312,49324,3260
0,FIFO,long_batch_3,0.15,1.0,1312438,16,0.3328,0.5981,0.5972,0.9310,49320,3259
0,FIFO,short_urgent_4,0.89,7.9,262487,8,0.3393,0.1204,0.1203,0.4596,49324,3260
0,FIFO,long_batch_5,0.09,3.7,1312438,16,0.4107,0.6314,0.6312,1.0422,147620,3258
0,FIFO,medium_mixed_6,0.49,2.7,656219,32,0.4614,0.3080,0.3079,0.7694,49456,3260
0,FIFO,mem_heavy_7,0.53,7.4,393731,128,0.7755,0.2769,0.2769,1.0524,147760,3260
0,FIFO,long_batch_8,0.29,3.7,1312438,16,0.9345,0.5927,0.5921,1.5272,49320,3259
0,FIFO,medium_mixed_9,0.32,7.5,656219,32,1.0456,0.3224,0.3223,1.3680,147620,3258
0,FIFO,short_urgent_10,0.73,11.0,262487,8,1.0761,0.1184,0.1184,1.1945,147760,3260
0,FIFO,short_urgent_11,0.88,12.4,262487,8,1.1947,0.1155,0.1153,1.3102,147760,3260
0,SJF,short_urgent_4,0.89,7.9,262487,8,0.0057,0.1162,0.1159,0.1219,24768,3265
0,SJF,short_urgent_10,0.73,11.0,262487,8,0.0058,0.1165,0.1165,0.1224,24896,3266
0,SJF,short_urgent_11,0.88,12.4,262487,8,0.0062,0.1168,0.1161,0.1230,24900,3267
0,SJF,mem_heavy_0,0.7,7.4,393731,128,0.1236,0.2424,0.2424,0.3661,147776,3265
0,SJF,mem_heavy_7,0.53,7.4,393731,128,0.1243,0.2854,0.2852,0.4097,147904,3266
0,SJF,medium_mixed_1,0.69,7.8,656219,32,0.1248,0.3069,0.3064,0.4317,49604,3267
0,SJF,medium_mixed_2,0.69,6.8,656219,32,0.3885,0.2963,0.2963,0.6849,147776,3265
0,SJF,medium_mixed_6,0.49,2.7,656219,32,0.4333,0.3006,0.3006,0.7339,147904,3266
0,SJF,medium_mixed_9,0.32,7.5,656219,32,0.4377,0.3001,0.2995,0.7378,49604,3267
0,SJF,long_batch_3,0.15,1.0,1312438,16,0.6908,0.5776,0.5775,1.2684,147776,3265
0,SJF,long_batch_5,0.09,3.7,1312438,16,0.7403,0.5756,0.5754,1.3159,147904,3266
0,SJF,long_batch_8,0.29,3.7,1312438,16,0.7439,0.5814,0.5806,1.3253,49604,3267
0,Urgency,short_urgent_4,0.89,7.9,262487,8,0.0060,0.1174,0.1173,0.1234,24792,3270
0,Urgency,short_urgent_11,0.88,12.4,262487,8,0.0064,0.1195,0.1194,0.1259,24928,3271
0,Urgency,short_urgent_10,0.73,11.0,262487,8,0.0064,0.1173,0.1172,0.1237,24920,3272
0,Urgency,mem_heavy_0,0.7,7.4,393731,128,0.1253,0.2371,0.2368,0.3624,147800,3270
0,Urgency,medium_mixed_1,0.69,7.8,656219,32,0.1256,0.2951,0.2950,0.4207,49624,3272
0,Urgency,medium_mixed_2,0.69,6.8,656219,32,0.1275,0.3031,0.3007,0.4306,49632,3271
